item_id,int_rate,loan_amnt,grade,purpose,term,n_loans,positive_rate,item_idx
A_car_36 months,6.973415233415233,8283.59950859951,A,car,36 months,407,0.9656019656019657,0
A_car_60 months,8.00037037037037,11505.555555555555,A,car,60 months,27,0.9259259259259259,1
A_credit_card_36 months,6.98651397260274,14473.427397260273,A,credit_card,36 months,9125,0.9681095890410959,2
A_credit_card_60 months,7.545177664974619,21502.79187817259,A,credit_card,60 months,591,0.9780033840947546,3
A_debt_consolidation_36 months,7.132420084550916,15126.787436030558,A,debt_consolidation,36 months,13483,0.9672921456649114,4
A_debt_consolidation_60 months,7.587615979381443,22632.345360824744,A,debt_consolidation,60 months,776,0.9677835051546392,5
A_educational_36 months,8.408333333333333,5966.666666666667,A,educational,36 months,6,1.0,6
A_home_improvement_36 months,6.908913136499787,13219.223363286264,A,home_improvement,36 months,2337,0.9717586649550706,7
A_home_improvement_60 months,7.677622377622378,23155.06993006993,A,home_improvement,60 months,143,0.951048951048951,8
A_house_36 months,6.903988764044945,15411.797752808989,A,house,36 months,178,0.9775280898876404,9
A_house_60 months,7.58,22821.428571428572,A,house,60 months,7,1.0,10
A_major_purchase_36 months,6.936701298701299,11210.90909090909,A,major_purchase,36 months,770,0.9545454545454546,11
A_major_purchase_60 months,7.947647058823528,19126.470588235294,A,major_purchase,60 months,34,0.9411764705882353,12
A_medical_36 months,7.0760927152317885,9031.125827814569,A,medical,36 months,302,0.9635761589403974,13
A_medical_60 months,7.680000000000001,17066.666666666668,A,medical,60 months,9,1.0,14
A_moving_36 months,7.01546218487395,8658.823529411764,A,moving,36 months,119,0.9327731092436975,15
A_moving_60 months,7.35,10000.0,A,moving,60 months,1,1.0,16
A_other_36 months,7.122375,10254.485294117647,A,other,36 months,1360,0.9602941176470589,17
A_other_60 months,7.693958333333334,20946.354166666668,A,other,60 months,48,1.0,18
A_renewable_energy_36 months,6.865384615384615,10850.0,A,renewable_energy,36 months,13,0.8461538461538461,19
A_small_business_36 months,6.948756476683937,15917.098445595855,A,small_business,36 months,193,0.9533678756476683,20
A_small_business_60 months,7.838571428571428,22914.285714285714,A,small_business,60 months,7,1.0,21
A_vacation_36 months,7.150397727272727,7142.613636363636,A,vacation,36 months,176,0.9545454545454546,22
A_vacation_60 months,7.906666666666666,10666.666666666666,A,vacation,60 months,3,1.0,23
A_wedding_36 months,7.352413793103448,10568.965517241379,A,wedding,36 months,29,1.0,24
B_car_36 months,10.635545023696682,7549.822274881517,B,car,36 months,422,0.9146919431279621,25
B_car_60 months,10.48974025974026,15241.233766233767,B,car,60 months,77,0.974025974025974,26
B_credit_card_36 months,10.592628594572702,12692.793134872418,B,credit_card,36 months,9876,0.919501822600243,27
B_credit_card_60 months,10.603142174432497,21275.30864197531,B,credit_card,60 months,2511,0.9287136598964556,28
B_debt_consolidation_36 months,10.714291819598772,13105.33712102167,B,debt_consolidation,36 months,19889,0.9123133390316255,29
B_debt_consolidation_60 months,10.78176628194559,21903.436727122837,B,debt_consolidation,60 months,4852,0.93239901071723,30
B_educational_36 months,11.2175,12150.0,B,educational,36 months,4,0.5,31
B_home_improvement_36 months,10.582875842919476,11308.458944863149,B,home_improvement,36 months,2521,0.9242364141213804,32
B_home_improvement_60 months,10.598937409024746,22079.403202328966,B,home_improvement,60 months,687,0.9388646288209607,33
B_house_36 months,10.725099337748345,12842.880794701987,B,house,36 months,151,0.9271523178807947,34
B_house_60 months,10.56075,21209.375,B,house,60 months,80,0.95,35
B_major_purchase_36 months,10.62504391468005,9147.082810539523,B,major_purchase,36 months,797,0.918444165621079,36
B_major_purchase_60 months,10.565172413793103,21543.34975369458,B,major_purchase,60 months,203,0.9310344827586207,37
B_medical_36 months,10.691187648456056,7840.320665083135,B,medical,36 months,421,0.9239904988123515,38
B_medical_60 months,10.520983606557376,17711.06557377049,B,medical,60 months,61,0.9344262295081968,39
B_moving_36 months,10.692785388127852,7228.652968036529,B,moving,36 months,219,0.8949771689497716,40
B_moving_60 months,10.640799999999999,19264.0,B,moving,60 months,25,1.0,41
B_other_36 months,10.674875427454813,8432.401074743528,B,other,36 months,2047,0.936980947728383,42
B_other_60 months,10.674247491638795,20164.046822742475,B,other,60 months,299,0.939799331103679,43
B_renewable_energy_36 months,10.932777777777778,12581.944444444445,B,renewable_energy,36 months,18,0.7222222222222222,44
B_renewable_energy_60 months,12.32,15666.666666666666,B,renewable_energy,60 months,3,1.0,45
B_small_business_36 months,10.829311475409837,14554.754098360656,B,small_business,36 months,305,0.9016393442622951,46
B_small_business_60 months,10.759130434782609,22115.942028985508,B,small_business,60 months,69,0.8695652173913043,47
B_vacation_36 months,10.691666666666666,5690.785256410257,B,vacation,36 months,312,0.9166666666666666,48
B_vacation_60 months,11.107333333333335,15035.0,B,vacation,60 months,15,0.7333333333333333,49
B_wedding_36 months,11.363703703703704,9298.148148148148,B,wedding,36 months,27,0.8888888888888888,50
B_wedding_60 months,10.9275,13537.5,B,wedding,60 months,4,0.75,51
C_car_36 months,13.933426966292135,7932.935393258427,C,car,36 months,356,0.8904494382022472,52
C_car_60 months,14.3975,14814.84375,C,car,60 months,96,0.9270833333333334,53
C_credit_card_36 months,14.008074591218078,12806.623185743156,C,credit_card,36 months,5443,0.8614734521403637,54
C_credit_card_60 months,14.181752207505518,20227.53863134658,C,credit_card,60 months,3624,0.875,55
C_debt_consolidation_36 months,14.061348341373355,12989.603061163718,C,debt_consolidation,36 months,16791,0.8595080697992973,56
